06.10.15.15.41.052	 Left: 1.0 Right: 4.0
06.10.15.15.41.303	 Left: 1.0 Right: 4.0
06.10.15.15.41.554	 Left: 1.0 Right: 4.0
06.10.15.15.41.804	 Left: 1.0 Right: 4.0
06.10.15.15.42.054	 Left: 1.0 Right: 4.0
06.10.15.15.42.304	 Left: 1.0 Right: 4.0
06.10.15.15.42.554	 Left: 1.0 Right: 4.0
06.10.15.15.42.805	 Left: 1.0 Right: 4.0
06.10.15.15.43.055	 Left: 1.0 Right: 4.0
06.10.15.15.43.305	 Left: 1.0 Right: 4.0
06.10.15.15.43.555	 Left: 1.0 Right: 4.0
06.10.15.15.43.805	 Left: 1.0 Right: 4.0
06.10.15.15.44.055	 Left: 1.0 Right: 4.0
06.10.15.15.44.307	 Left: 1.0 Right: 4.0
06.10.15.15.44.557	 Left: 1.0 Right: 4.0
06.10.15.15.44.808	 Left: 1.0 Right: 4.0
06.10.15.15.45.058	 Left: 1.0 Right: 3.0
06.10.15.15.45.308	 Left: 1.0 Right: 3.0
06.10.15.15.45.559	 Left: 1.0 Right: 3.0
06.10.15.15.45.809	 Left: 1.0 Right: 3.0
06.10.15.15.46.059	 Left: 1.0 Right: 3.0
06.10.15.15.46.310	 Left: 1.0 Right: 3.0
06.10.15.15.46.560	 Left: 1.0 Right: 3.0
06.10.15.15.46.810	 Left: 1.0 Right: 3.0
06.10.15.15.47.060	 Left: 1.0 Right: 3.0
06.10.15.15.47.310	 Left: 1.0 Right: 3.0
06.10.15.15.47.561	 Left: 1.0 Right: 3.0
06.10.15.15.47.812	 Left: 1.0 Right: 3.0
06.10.15.15.48.063	 Left: 1.0 Right: 3.0
06.10.15.15.48.314	 Left: 1.0 Right: 3.0
06.10.15.15.48.564	 Left: 1.0 Right: 3.0
06.10.15.15.48.815	 Left: 1.0 Right: 3.0
